"year","count","mean","success","income_c","RestaurantsPriceRange2","RestaurantsTableService","QuietLevel","postal_code"
"2021",5,4.2,0,0.633724047049044,2,0,0,93101
"2021",42,3.73809523809524,0,0.633724047049044,2,1,2,93101
"2021",24,4.33333333333333,1,0.633724047049044,2,1,2,93101
"2021",5,5,0,0.633724047049044,0,0,0,93101
"2021",38,3.94736842105263,0,0.633724047049044,2,0,2,93101
"2021",5,5,0,0.633724047049044,2,1,2,93101
"2021",22,4.04545454545455,1,0.633724047049044,2,0,1,93101
"2021",12,4.16666666666667,0,0.633724047049044,2,0,2,93101
"2021",258,3.81782945736434,0,0.633724047049044,2,0,2,93101
"2021",14,4.64285714285714,0,0.633724047049044,2,0,0,93101
"2021",65,3.49230769230769,0,0.633724047049044,2,0,2,93101
"2021",9,4.11111111111111,0,0.633724047049044,2,0,2,93101
"2021",31,2.67741935483871,0,0.633724047049044,2,0,2,93101
"2021",20,2.45,0,0.633724047049044,2,1,2,93101
"2021",6,3,0,0.633724047049044,0,0,0,93101
"2021",2,3.5,0,0.633724047049044,1,0,2,93101
"2021",49,3.91836734693878,0,0.633724047049044,3,1,2,93101
"2021",10,4.9,0,0.633724047049044,2,0,0,93101
"2021",10,4.8,0,0.633724047049044,1,0,3,93101
"2021",31,3.90322580645161,0,0.633724047049044,1,0,2,93101
"2021",40,3.75,0,0.633724047049044,2,0,2,93101
"2021",49,4.14285714285714,1,0.633724047049044,1,0,2,93101
"2021",3,5,0,0.633724047049044,0,0,0,93101
"2021",14,4.35714285714286,0,0.633724047049044,2,0,2,93101
"2021",31,4.54838709677419,1,0.633724047049044,2,0,2,93101
"2021",32,4.09375,1,0.633724047049044,2,0,3,93101
"2021",15,3.66666666666667,0,0.633724047049044,2,1,2,93101
"2021",95,4.08421052631579,1,0.633724047049044,2,1,2,93101
"2021",183,4.09289617486339,1,0.633724047049044,3,1,2,93101
"2021",51,4.13725490196078,1,0.633724047049044,2,1,2,93101
"2021",59,4.03389830508475,1,0.633724047049044,2,1,2,93101
"2021",1,1,0,0.633724047049044,2,0,2,93101
"2021",80,4.0875,1,0.633724047049044,2,1,2,93101
"2021",50,4.38,1,0.633724047049044,2,1,2,93101
"2021",25,4.56,1,0.633724047049044,2,0,2,93101
"2021",68,4.30882352941176,1,0.633724047049044,2,0,2,93101
"2021",94,4.03191489361702,1,0.633724047049044,3,1,2,93101
"2021",1,4,0,0.633724047049044,2,1,2,93101
"2021",29,4.3448275862069,1,0.633724047049044,2,0,2,93101
"2021",1,5,0,0.633724047049044,2,1,2,93101
"2021",9,2.11111111111111,0,0.633724047049044,1,0,2,93101
"2021",62,4.12903225806452,1,0.633724047049044,2,1,2,93101
"2021",70,4.32857142857143,1,0.633724047049044,2,0,2,93101
"2021",85,4.42352941176471,1,0.633724047049044,2,0,1,93101
"2021",65,4.33846153846154,1,0.633724047049044,2,1,0,93101
"2021",20,4.5,1,0.633724047049044,2,1,2,93101
"2021",157,3.85987261146497,0,0.633724047049044,2,1,2,93101
"2021",46,4.8695652173913,1,0.633724047049044,2,0,0,93101
"2021",3,5,0,0.633724047049044,2,0,2,93101
"2021",32,3.96875,0,0.633724047049044,2,0,2,93101
"2021",59,4.40677966101695,1,0.633724047049044,2,0,2,93101
"2021",5,4.8,0,0.633724047049044,0,0,0,93101
"2021",103,4.32038834951456,1,0.633724047049044,2,1,2,93101
"2021",15,4.93333333333333,0,0.633724047049044,2,1,2,93101
"2021",48,4.79166666666667,1,0.633724047049044,1,1,0,93101
"2021",10,3.9,0,0.633724047049044,2,0,2,93101
"2021",25,4.28,1,0.633724047049044,2,1,2,93101
"2021",40,2.7,0,0.633724047049044,2,0,2,93101
"2021",21,4.85714285714286,1,0.633724047049044,2,0,3,93101
"2021",1,5,0,0.633724047049044,2,0,0,93101
"2021",56,4.53571428571429,1,0.633724047049044,1,0,2,93101
"2021",11,3.45454545454545,0,0.633724047049044,2,0,2,93101
"2021",73,3.3013698630137,0,0.633724047049044,2,1,2,93101
"2021",70,4.65714285714286,1,0.633724047049044,2,0,2,93101
"2021",214,4.30373831775701,1,0.633724047049044,2,1,2,93101
